# LAMP ver. 2.0.3
# item-file: data/conditions/data_472.csv
# value-file: data/conditions/values_472.csv
# significance-level: 0.05
# P-value computing procedure: fisher (greater)
# # of tested elements: 106, # of samples: 16228, # of positive samples: 1225
# Adjusted significance level: 4.2337e-05, Correction factor: 1181 (# of target rows >= 4)
# # of significant combinations: 110
Rank	Raw p-value	Adjusted p-value	Combination	Arity	# of target rows	# of positives in the targets
84	7.6611e-06	0.0090477	995,041,311	3	16	8
85	7.6611e-06	0.0090477	696,995,714	3	16	8
86	7.7568e-06	0.0091608	995,311,493,401	4	12	7
87	7.7568e-06	0.0091608	041,346,692	3	12	7
88	7.8032e-06	0.0092155	692,569	2	42	13
89	7.8032e-06	0.0092155	696,493	2	42	13
90	1.0179e-05	0.012022	733,692	2	37	12
91	1.2709e-05	0.01501	346,272	2	288	43
92	1.271e-05	0.01501	041,346,272	3	32	11
93	1.271e-05	0.01501	493,714	2	32	11
94	1.3513e-05	0.015958	995,714,692	3	17	8
95	1.3681e-05	0.016157	493,530	2	6	5
96	1.5708e-05	0.018551	995,365	2	13	7
97	1.9892e-05	0.023493	311,272	2	256	39
98	2.1548e-05	0.025448	995,041,401	3	28	10
99	2.1548e-05	0.025448	696,995,692	3	28	10
100	2.2713e-05	0.026824	995,041,569	3	18	8
101	2.3911e-05	0.028239	995,714,401	3	23	9
102	2.9366e-05	0.034681	995,311,346,401	4	14	7
103	2.9366e-05	0.034681	995,041,346,272	4	14	7
104	2.9452e-05	0.034783	995,493,401,692	4	10	6
105	2.9452e-05	0.034783	995,714,569	3	10	6
106	3.2323e-05	0.038174	995,041,493,311	4	4	4
107	3.2323e-05	0.038174	995,493,692,569	4	4	4
108	3.2323e-05	0.038174	733,995,041,692	4	4	4
109	3.2323e-05	0.038174	733,995,714,272	4	4	4
110	3.6639e-05	0.04327	995,346,714	3	19	8
Time (sec.): Computing correction factor 0.153, Enumerating significant combinations 5.205, Total 5.359
